Index,Name,Description,Brand,Category,Price,Currency,Stock,Color,Size,Availability
1,Compact Printer Air Advanced Digital,Situation organization these memory much off.,"Garner, Boyle and Flynn",Books & Stationery,265,USD,774,ForestGreen,Large,pre_order
2,Tablet,Discussion loss politics free one thousand.,Mueller Inc,Shoes & Footwear,502,USD,81,Black,8x10 in,in_stock
3,Smart Blender Cooker,No situation per.,"Lawson, Keller and Winters",Kitchen Appliances,227,USD,726,SlateGray,XS,in_stock
4,Advanced Router Rechargeable,For force gas energy six laugh.,Gallagher and Sons,Kitchen Appliances,121,USD,896,PaleGreen,L,discontinued
5,Portable Mouse Monitor Phone,Feeling back religious however author room scientist.,Irwin LLC,Kids' Clothing,1,USD,925,SeaShell,100x200 mm,discontinued
6,Radio,Character prove growth contain serious customer.,"Benjamin, Nelson and Hancock",Skincare,426,USD,549,CornflowerBlue,30x40 cm,pre_order
7,Ultra Projector Oven Thermostat Prime Advanced,Pattern possible look necessary indicate work nearly.,"Mccoy, Waters and Rose",Laptops & Computers,68,USD,870,Purple,S,discontinued
8,Webcam Stove Grill,Deep area join carry age.,Morrow and Sons,Automotive,159,USD,584,MediumOrchid,8x10 in,pre_order
9,Eco Radio,Know father for act let.,"Edwards, Odonnell and Conley",Skincare,454,USD,499,DimGray,Medium,pre_order
10,Ultra Powerbank Brush Charger Max,Meeting add economic task outside.,"Brennan, Archer and Rosales",Fitness Equipment,845,USD,564,Silver,Extra Large,discontinued
11,Wireless Dock,Whole bill sound whether will.,Russo-West,Health & Wellness,257,USD,168,Wheat,Extra Large,pre_order
12,Fast Camera Router Fan Smart,Various above trouble itself crime form.,Vazquez and Sons,Cleaning Supplies,221,USD,672,MidnightBlue,Medium,pre_order
13,Heater Radio,Ten do evidence billion perhaps read bank enter.,Delgado-Blackwell,Cycling,689,USD,156,Orange,L,pre_order
14,Smart Trimmer Webcam Heater,Example available better.,Contreras PLC,Automotive,279,USD,818,Gainsboro,XXL,pre_order
15,Webcam Dock Heater,State yet soon traditional your deal.,"Juarez, Powell and Travis",Cleaning Supplies,101,USD,159,Sienna,30x40 cm,pre_order
16,Automatic Watch Lite Sense,As east entire positive source their.,"Reid, Chase and Ballard",Team Sports,316,USD,329,Tan,5x7 in,limited_stock
17,Eco Iron Monitor Air,Color single indeed yard event popular food boy.,Barker-Murphy,Automotive,982,USD,47,OliveDrab,XL,out_of_stock
18,Digital Tablet Router Printer Lite,Accept campaign every research test.,Vazquez-Smith,Health & Wellness,3,USD,732,LemonChiffon,10x10 cm,backorder
19,Eco Freezer Powerbank Watch,Of price visit interesting enter three set.,"Pruitt, Higgins and Barnett",Cleaning Supplies,340,USD,618,Cyan,S,limited_stock
20,Cooler Fan,Fall billion city share.,Bray LLC,Smartphones,529,USD,844,Bisque,XS,backorder
21,Portable Camera Plus Air Ultra,Reality hair explain up bad.,Wang-Valenzuela,Women's Clothing,197,USD,163,Magenta,L,in_stock
22,Wireless Powerbank 360 Advanced Ultra,Deal head decade age outside military culture.,Carney Ltd,Bedding & Bath,677,USD,418,Beige,M,out_of_stock
23,Rechargeable Lamp Speakerphone Headphones,Effort own safe main walk quickly.,"Gallegos, Osborne and Carpenter",Skincare,664,USD,577,DarkBlue,L,pre_order
24,Mini Scooter Microphone,Maybe around expect own whether pay.,"Douglas, Thornton and Soto",Grooming Tools,784,USD,510,DimGray,L,backorder
25,Rechargeable Webcam Stove Grill,Movement you Mr decide history effect.,Horn-Pope,Health & Wellness,900,USD,623,PaleGreen,5x7 in,out_of_stock
26,Mini Iron Drone Wireless Pro,From Congress low.,Khan-Parrish,Cycling,909,USD,797,CadetBlue,XXL,limited_stock
27,Portable Freezer Phone Automatic Smart,Live fish audience piece his ago true.,Burton PLC,Automotive,350,USD,756,Snow,XL,pre_order
28,Wireless Webcam Stove Grill,Pull at improve health also animal forward person.,Henry Group,Clothing & Apparel,858,USD,912,LightSalmon,50x70 cm,limited_stock
29,Clock Brush,Other another must explain send somebody consider.,Larson-Spence,Furniture,985,USD,180,SaddleBrown,Extra Large,in_stock
30,Keyboard Toaster Monitor,My head prove exist change.,Bonilla-Spears,Kids' Clothing,576,USD,988,DarkSlateGray,L,pre_order
31,Silent Printer Fan Shaver,Region week yet weight.,Love LLC,Sports & Outdoors,102,USD,669,MediumSpringGreen,L,limited_stock
32,Wireless Scooter Clean Mini,Green main imagine way suffer wall.,Terry-Oliver,Fragrances,283,USD,343,MintCream,S,pre_order
33,Advanced Microphone Cooler Eco,Most other newspaper beyond real.,"Morales, Weaver and Fernandez",Smartphones,904,USD,532,LightCyan,Extra Large,limited_stock
34,Automatic Brush Fast Eco,Record response relationship.,Newman Ltd,Kids' Clothing,407,USD,285,SeaGreen,8x10 in,out_of_stock
35,Premium Bicycle Microphone,Congress how list third rise.,"Novak, Archer and Walton",Shoes & Footwear,480,USD,364,AliceBlue,Extra Large,discontinued
